 ,hygglo_name,matched_category_id,matched_category_name,matched_parent,similarity,alt1_id,alt1_name,alt1_sim,alt2_id,alt2_name,alt2_sim,override_category_id
8675,Drainage Pump,1311,Pumpa za odvodnjavanje,Baštenske mašine,0.8427,1219,Savijač cevi,0.6749,1217,Rezač cevi,0.6461,
8443,Other Bicycle Bags,1506,Torba za transport bicikla,Biciklizam,0.8427,1503,Prikolica za teret na biciklu,0.7603,1574,Kofer za bicikl,0.726,
9305,Soup Kettle,1440,Lonac za supu,Ketering i kuhinja,0.8404,1442,Dispenser za šlag,0.6739,1434,Chafing dish,0.6309,
8551,Moisture Meter,1071,Merač vlage,Merni instrumenti,0.84,1221,Tester pritiska,0.7041,1311,Pumpa za odvodnjavanje,0.6679,
9244,Camera rigs and shoulder frames,1293,Rigovi i ramena za kameru,Stativi i rigovi,0.8398,1261,Torba za kameru,0.7441,1292,Kamera na kablu,0.7292,
8664,Beer Brewing and Wine Making,1379,Varenje piva i vinarstvo,Kuhinjski aparati,0.8397,1443,Ostalo u ketering kuhinji,0.5,1325,Freza za panjeve,0.4856,
8471,Kiteboarding,1545,Kiteboarding,Sportovi na vodi,0.8396,1548,Vodni ski i wakeboard,0.6686,1550,Windsurfing,0.6591,
2942,Printer,1165,3D štampač,Kancelarijske mašine,0.8372,1166,Štampač nalepnica,0.6956,1052,Mašina za graviranje,0.6852,1171
9036,Photo booth,1453,Photo booth,Aktivnosti i zabava,0.8371,1170,Skener za fotografije,0.7261,1264,Foto štampač,0.6676,
8968,Beer pong,1444,Beer pong,Aktivnosti i zabava,0.8366,1513,Bumper ball,0.5442,1522,Igre na otvorenom,0.5083,
8937,Other Bicycles,1504,Nosač bicikla,Biciklizam,0.8364,1509,Ostalo u biciklizmu,0.8258,1507,Bicikli,0.8145,1509
8605,Battery,1019,Baterije i punjači,Struja i agregati,0.8349,1601,Punjač baterija za vozila,0.787,1587,Punjač baterija za vozila,0.7795,
9239,4G router,1144,4G ruter,Računari i oprema,0.8348,1149,Mrežna oprema,0.4649,1336,Mašina za polaganje kablova,0.3795,
9073,Accessories kayak,1589,Nosač za kanu i kajak,Auto oprema,0.8346,1541,Ronilačka oprema,0.6948,1625,Prikolica za čamac,0.6914,1617
4613,Accessories For Strollers,1399,Kolica i oprema,Oprema za decu,0.8345,1582,Električna invalidska kolica,0.7324,1585,Invalidska kolica,0.7181,
4533,Styling,1366,Rekviziti,Stilizovanje i dekoracija,0.8342,1367,Stilizovanje,0.8005,1365,Slike,0.7916,1367
8730,Other VR Glasses,1157,VR naočale,Video igre i konzole,0.8339,1284,Reflektorski ekran,0.5568,1276,DSLR objektivi,0.5488,
8917,Other Suitcases,1576,Specijalni kofer,Putovanja i koferi,0.8334,1575,Nosiljka za kućnog ljubimca,0.8012,1577,Koferi,0.7911,1577
3335,Other in Kitchen,1388,Ostalo u kuhinji,Kuhinjski aparati,0.8331,1384,Lonci i tiganje,0.7797,1386,Sokovnik na paru,0.7491,
3917,Bicycle Accessories,1503,Prikolica za teret na biciklu,Biciklizam,0.8322,1506,Torba za transport bicikla,0.8279,1504,Nosač bicikla,0.8243,1509
9009,Other in Photo Background,1308,Ostalo u pozadinama,Foto pozadine,0.8316,1305,Jednobojna pozadina,0.8139,1307,Pozadina sa uzorkom,0.8129,
9000,Reflective Screen,1284,Reflektorski ekran,Blicevi i rasveta,0.8311,1247,Projekciono platno,0.657,1248,Slajd projektor,0.6309,
8896,Gimbal For Mobile Phone,1160,Gimbal za mobilni,Mobilni telefoni i tableti,0.8309,1161,Mobilni telefon,0.5652,1162,Pametni sat,0.5607,
8505,Food Dehydrator,1380,Dehidrator hrane,Kuhinjski aparati,0.8308,1442,Dispenser za šlag,0.5655,1557,Pojas za hidrataciju,0.5138,
8981,Wheelchair,1582,Električna invalidska kolica,Mobilnost i medicinska nega,0.8304,1585,Invalidska kolica,0.8134,1584,Hodalica,0.6004,
9393,Fruit Picker,1347,Berač voća,Baštenski alati,0.83,1487,Berba šumskih plodova,0.5137,1319,Usisivač za lišće,0.4827,
9049,Other in Plumbing Tools,1217,Rezač cevi,Vodoinstalaterski alati,0.8298,1219,Savijač cevi,0.8227,1218,Ključ za cevi,0.7787,
8660,Big Screen,1242,Veliki ekran,Projektori i televizori,0.8295,1247,Projekciono platno,0.6812,1244,Media plejeri,0.6646,
9362,Vacuum tester,1612,Vakuum tester,Alati za radionicu,0.8292,1042,Sabljasta testera,0.5984,1028,Cirkularna testera,0.5657,
8503,Carpet & Upholstery Cleaners,1369,Čistač tepiha i tapaciringa,Čišćenje i pranje,0.8278,1109,Skidač tapeta,0.7299,1202,Mašina za skidanje podova,0.7044,
2954,Other in Video Games,1158,Ostalo u video igrama,Video igre i konzole,0.827,1152,Arkadna mašina,0.8017,1154,Konzola,0.7744,
9490,Other in DJ Equipment,1124,DJ oprema,Audio oprema i zvuk,0.8267,1126,Luper,0.6217,1125,Slušalice,0.6196,
8834,Work Platform,1239,Radna platforma,Skele i podupirači,0.8261,1193,Platforma za rad na visini,0.6771,1240,Radni sto,0.6346,
9334,Outdoor package,1501,Outdoor paket,Kampovanje i outdoor,0.8257,1492,Rashladna kutija i torba,0.7108,1490,Kolica za outdoor,0.6715,
9457,Cameras With Operator,1253,Kompaktni fotoaparat,Fotoaparati i kamere,0.825,1266,Teleprompter,0.8173,1256,Filmska kamera,0.8045,
8424,Other in Styling & Decor,1366,Rekviziti,Stilizovanje i dekoracija,0.825,1364,Nameštaj,0.8066,1467,Stilizovanje i dekoracija,0.7914,
8420,Snowboard,1568,Skijanje i snowboard,Zimski sportovi,0.825,1571,Snowracer,0.7727,1570,Penjanje po snegu i ledu,0.7337,
8856,Other in Travel With Children,1579,Putovanje s decom,Putovanja i koferi,0.8248,1401,Putovanje s decom,0.7912,1580,Ostalo u putovanjima,0.6431,
2923,Camcorder,1265,Streaming oprema,Fotoaparati i kamere,0.824,1252,Kamkorder,0.7868,1256,Filmska kamera,0.7779,
8992,Studio lamp,1289,Studijska lampa,Blicevi i rasveta,0.8219,1284,Reflektorski ekran,0.6573,1285,Ring svetlo,0.6169,
9354,Oscilloscope,1073,Osciloskop,Merni instrumenti,0.8213,1068,Fotometar,0.4631,1603,Dijagnostički alat,0.4581,
3946,Other in Watersports,1552,Ostalo u vodenim sportovima,Sportovi na vodi,0.8211,1544,Kajak,0.8195,1549,Odeća za vodene sportove,0.7922,
9286,Mountain ski,1570,Penjanje po snegu i ledu,Zimski sportovi,0.8204,1566,Skijaški roleri,0.8129,1571,Snowracer,0.8008,
9460,Follow Focus & Lens Support,1263,Follow focus i nosač objektiva,Fotoaparati i kamere,0.8202,1280,Oprema za objektive,0.6972,1277,Filter za objektiv,0.6903,
8829,Water Pump Pliers,1311,Pumpa za odvodnjavanje,Baštenske mašine,0.8201,1219,Savijač cevi,0.744,1217,Rezač cevi,0.7293,1090
8970,Egg Incubator,1413,Inkubator za jaja,Oprema za kućne ljubimce,0.8195,1404,Epilacija,0.4448,1381,Centrifuga za med,0.435,
9192,Cable cam,1292,Kamera na kablu,Stativi i rigovi,0.8189,1265,Streaming oprema,0.6598,1266,Teleprompter,0.613,
8430,Other in Play & Hobby,1514,Štafelaj,Igra i hobi,0.8186,1529,Ostalo u igranju i hobiju,0.792,1522,Igre na otvorenom,0.7641,1529
9350,Smartwatch,1162,Pametni sat,Mobilni telefoni i tableti,0.8186,1160,Gimbal za mobilni,0.5741,1161,Mobilni telefon,0.558,
9400,Sound meter,1077,Merač buke,Merni instrumenti,0.8168,1132,Zvučnik,0.7053,1125,Slušalice,0.6821,
2914,Computer Accessories,1145,Računarska oprema,Računari i oprema,0.8155,1148,Laptop,0.8136,1151,Ostalo u računarima,0.806,
8750,Other in Transportation & Lifting,1121,Kolica za teret,Transport i dizanje,0.8149,1123,Ostalo u transportu,0.7922,1117,Viljuškar,0.7899,1123
8870,Other in Vehicle Tools,1602,Auto alati,Alati za radionicu,0.8147,808,Ostala vozila,0.7861,1591,Autosedište,0.7783,
8950,Other in Camping,1636,Ostalo u kamperima,Kamperi i kamp prikolice,0.8134,1488,Dvogled,0.8091,1486,Ruksak,0.8078,1502
254,Jetski,1620,Jetski,Čamci i plovila,0.813,1543,Jetski,0.7528,1350,Aerator sa šupljim klinovima,0.6758,
466,Baby Carrier and Carrying Chairs,1389,Nosiljka i stolica za bebu,Oprema za decu,0.8122,1399,Kolica i oprema,0.7243,1401,Putovanje s decom,0.6081,
8601,Tools Package,1010,Paketi alata,Građevinska oprema i alati,0.8122,1095,Kofer za alat,0.7522,1600,Kolica za montažu,0.7388,
223,Other in Garden,406,Ostalo u bašti,Bašta,0.8119,1338,Baštenski valjak,0.7179,1356,Kolica za baštu,0.7106,
8880,Sound Recorder,1126,Luper,Audio oprema i zvuk,0.8094,1125,Slušalice,0.8088,1132,Zvučnik,0.8073,1133
8643,Chairs For Party,1429,Stolice za proslave,Nameštaj za proslave,0.8085,1430,Paket stolovi i stolice,0.7868,1431,Sklopivi stolovi,0.7332,
8442,Bike Travel Case,1506,Torba za transport bicikla,Biciklizam,0.8082,1503,Prikolica za teret na biciklu,0.7937,1574,Kofer za bicikl,0.7755,
9429,Hiking tools,1496,Planinarsko oruđe,Kampovanje i outdoor,0.8082,1495,Planinski štap,0.7593,1501,Outdoor paket,0.7163,
8806,Other in Winter Clothing,1572,Zimska odeća,Zimski sportovi,0.8076,1567,Klizaljke,0.7095,1564,Ekspedicione sanke,0.687,
8646,Bar Table,1428,Bar sto,Nameštaj za proslave,0.8072,1431,Sklopivi stolovi,0.6264,1114,Stol za glodalicu,0.6245,
9294,Balloon pump,1462,Pumpica za balone,Dekoracija,0.8041,1416,Mašina za balone,0.7041,1311,Pumpa za odvodnjavanje,0.5626,
8824,Network Equipment,1149,Mrežna oprema,Računari i oprema,0.8037,1144,4G ruter,0.6809,1017,Satelitska oprema,0.6022,
3914,Cargo bike,1503,Prikolica za teret na biciklu,Biciklizam,0.8029,1506,Torba za transport bicikla,0.7778,1638,Prikolica za motocikl,0.7134,1507
9358,Color chart NCS,1101,NCS karta boja,Krečenje i tapete,0.8022,1102,Merač boja,0.5488,1100,Mešalica boje,0.5377,
3912,Road bike,1504,Nosač bicikla,Biciklizam,0.8016,1509,Ostalo u biciklizmu,0.7848,1503,Prikolica za teret na biciklu,0.782,1507
9341,Pressure tester,1221,Tester pritiska,Vodoinstalaterski alati,0.8011,1403,Merač krvnog pritiska,0.7375,1034,Kružna testera za metal,0.5862,
8783,Snowshoes,1571,Snowracer,Zimski sportovi,0.8006,1570,Penjanje po snegu i ledu,0.7758,1568,Skijanje i snowboard,0.7593,1570
9182,DVD & blu-ray,1243,DVD i Blu-ray,Projektori i televizori,0.7997,1250,VHS plejer,0.6177,1244,Media plejeri,0.4879,
8642,Other in Party Furniture,1431,Sklopivi stolovi,Nameštaj za proslave,0.7997,1430,Paket stolovi i stolice,0.7923,1427,Šank,0.7773,1432
8891,Other Action Cameras,1255,Digitalna kino kamera,Fotoaparati i kamere,0.7994,1256,Filmska kamera,0.7979,1253,Kompaktni fotoaparat,0.7949,1259
2931,Projector,1248,Slajd projektor,Projektori i televizori,0.7993,1246,Projektor,0.7781,1247,Projekciono platno,0.7716,1246
9135,Sauna,1455,Sauna,Aktivnosti i zabava,0.7987,1558,Masaža,0.604,1557,Pojas za hidrataciju,0.5938,
2425,Other in Car accessories,1599,Ostalo u auto opremi,Auto oprema,0.7978,1591,Autosedište,0.768,1590,Grejač kabine,0.7479,
8843,Bicycle tools,1503,Prikolica za teret na biciklu,Biciklizam,0.7967,1504,Nosač bicikla,0.786,1608,Alat za lanac motocikla,0.7809,1509
8744,Staple Gun,1087,Pištolj za lepak,Ručni alati,0.7966,1215,Pištolj za klamerice,0.7658,1054,Toplotni pištolj,0.7553,1215
9289,Pist Skis (Carving),1566,Skijaški roleri,Zimski sportovi,0.7965,1571,Snowracer,0.7804,1563,Oprema za lavine,0.7744,1568
9037,Accessories to Photo Booth,1453,Photo booth,Aktivnosti i zabava,0.7964,1170,Skener za fotografije,0.7923,1264,Foto štampač,0.7502,
8681,Dress,1426,Ostalo u odeći,Odeća i kostimi,0.7964,1425,Party odeća,0.759,1423,Čuvanje odeće,0.7315,
8804,Ski Helmet,1596,Krovni nosač za ski,Auto oprema,0.7958,1571,Snowracer,0.7824,1566,Skijaški roleri,0.7738,1572
9376,Mini oven,1383,Mini rerna,Kuhinjski aparati,0.7951,1386,Sokovnik na paru,0.7327,1384,Lonci i tiganje,0.6635,
8793,Alpine ski boots,1570,Penjanje po snegu i ledu,Zimski sportovi,0.795,1566,Skijaški roleri,0.7846,1571,Snowracer,0.773,1568
9394,Hollow tine aerator,1350,Aerator sa šupljim klinovima,Baštenski alati,0.7948,1191,Kompresor,0.6729,1060,Merač protoka vazduha,0.664,
