title,category_id,confidence,notes
"Industrijski ventilator za hale, magacine Master BC 221",105,high,
STIHL BT 360 - busac rupa - izdavanje,1211,high,
Stan na dan Beograd | Autokomanda,SKIP,high,stan/apartman nije pokriven taxonomy-jem
Iznajmljivanje Ventilatora Beograd,105,high,
"Fasaderska skela - najam, izdavanje",1232,high,
Pokretna aluminijumska skela 10m - Najam izdavanje renta,1232,high,
Gipsarska skela Layher STARO 7000 - Najam izdavanje,1232,high,
Vibro ploca - Wacker DPU 3760 - izdavanje,1208,high,
Vibro ploca - Wacker DPU 3050 - izdavanje,1208,high,
Vibro ploca - Wacker WP 1550 - izdavanje,1208,high,
Iznajmljivanje šlepera DAF- nosivost 25t kamionski prevoz,SKIP,high,?leper/kamionski prevoz nije rental predmet u taxonomy-ju
Najam Autodizalica- mobilni kran 60t Liepherr iznajmljivanje,1123,medium,autodizalica/mobilni kran
Iznajmljivanje telehendlera Beograd 14m viljuskar,1117,medium,telehendler/vilju?kar
Kamion sa rukom-kranom dizalicom iznajmljivanje,1123,medium,kamion sa kranom
Mesalica 350 litara - izdavanje,1209,medium,me?alica za beton
Renault Trafic 8+1,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Nissan Qashqai od 30€ dnevno,SKIP,high,automobil nije pokriven taxonomy-jem
Scarpa Mont Blanc Pro zenske cipele broj 40,1500,medium,planinarske/outdoor cipele
Izdavanje barskih stolova,1428,high,
Atlas Copco XAS 27/Kompresor/najam,1191,high,
Rentiranje bagera i utovrarivaca,1195,medium,bager i utovariva?; izabran bager kao prvi/glavni predmet
Corset za iznajmiti,1425,high,
Haljine za iznajmiti,1425,high,
Mesalica 190l - izdavanje,1209,medium,me?alica za beton
Građevinski podupirači 2-3.6m - najam,1235,high,
Građevinski podupirači 1-1.8m - najam,1235,high,
Karcher Puzzi 10/1 - dubinsko pranje - izdavanje,1369,high,
Karcher 6/15 - perac pod visokim pritiskom - izdavanje,1322,high,
FLEX WST 700 + Hilti VC 40 usisivač + FLEX GM 340 – izdavanje,1051,medium,?irafa za suvi zid uz usisiva?
FLEX WST 700 VV - žirafa /najam,1051,high,
Pagode Paviljoni Stolovi Stolice,1430,medium,pagode uz stolove/stolice
Hilti TE 3000 AVR - izdavanje,1177,high,
Hilti TE 1500 AVR - izdavanje,1177,high,
Hilti TE 1000 AVR - izdavanje,1177,high,
Hilti TE 800 AVR - izdavanje,1177,high,
JBL Partybox 720 - iznajmljivanje,1130,high,
Najam/Iznajmljivanje mini bagera do 3800kg,1195,high,
Najam/iznajmljivanje motorne testere za drva,1309,high,
Najam/iznajmljivanje benzinske samohodne kosilice,1341,high,
Najam/iznajmljivanje motornog trimera za travu,1310,high,
Najam/iznajmljivanje bušilice za zemlju,1211,high,
Najam/iznajmljivanje vibro ploče do 250kg,1208,high,
Iznajmi Zvucnik Sony Mhc-v73D,1130,high,
Najam/iznajmljivanje monofaznog agregata 7kVA,1024,high,
Najam/iznajmljivanje vibro žabe do 70kg,1208,high,
Najam/iznajmljivanje podnog sekača betona i asfalta,1212,medium,podni seka? betona/asfalta
Najam/iznajmljivanje helikoptera za beton 900mm,1209,medium,helikopter za beton
Najam/iznajmljivanje tandem vibro valjka do 1700kg,1213,low,vibro valjak nije eksplicitno u taxonomy-ju
Najam/iznajmljivanje vibro ploče do 500kg,1208,high,
Najam/iznajmljivanje alata i mašina - TENGE RENT,1010,low,op?ti oglas za alate i ma?ine
Kuhinjska jedinica za kampovanje,1489,medium,kuhinjska jedinica za kampovanje
Sklopivi sto za kampovanje i 4 stolice,1490,medium,sklopivi sto/stolice za kampovanje
Sony XP500 i Sony XV500 bluetooth zvucnici,1130,high,
Salon venčanica- Wedding studio N,1425,medium,ven?anica kao party/sve?ana ode?a
Iznajmljivanje satora za proslave,1459,medium,"?ator za proslave, veli?ina nije navedena"
Barski stolovi,1428,high,
IZNAJMLJIVANJE HLADNJAČA BEOGRAD,1441,medium,mobilna hladnja?a za doga?aje/ketering
Karcher puzzi 10/1 DUBINSKO PRANJE,1369,high,
Mašina za krečenje Airless mašina,1105,medium,airless ma?ina za kre?enje/farbanje
Izdavanje Prikolica sa ceradom 231x131x119cm,1633,high,
JBL PartyBox 520 - portabilni zvučnik za iznajmljivanje,1130,high,
Prevoz putnika / Transferi / Limo servis / Kombi prevoz Niš,SKIP,high,prevoz/transfer je usluga
Rent a Car Niš / Iznajmljivanje vozila Nis,SKIP,high,automobil nije pokriven taxonomy-jem
Бродић Елена,1621,medium,brodi? kao motorni ?amac/plovilo
Mašina za dubinsko Fantom Robotix CC 6300,1369,high,
Benzinski trimer Villager BC 1250 S,1310,high,
Profesionalni sušač vazduha Trotec TTK 350 S,105,medium,su?a? vazduha kao ventilacija/grejanje
Set za isušivanje vlage,105,medium,set za isu?ivanje vlage
Pokretna skela,1232,high,
Hilti TE 706-AVR,1177,high,
Paročistać S-TEAM 6,1374,high,
Torbica za more,SKIP,medium,torbica nije pokrivena taxonomy-jem
Crvena svecana torbica,SKIP,medium,sve?ana torbica nije pokrivena taxonomy-jem
Pletena torba,SKIP,medium,torba/ta?na nije pokrivena taxonomy-jem
Iznajmljivanje Jbl zvucnika BESPLATNA DOSTAVA,1130,high,
Karcher Puzzi 10/1,1369,high,
Insta 360 x5,1260,medium,Insta360 akciona/360 kamera
Osmo Poket 3,1252,medium,Osmo Pocket kamera
GoPro Hero 13 Black,1260,medium,GoPro akciona kamera
DRON - DJI Mini 5 Pro,1143,medium,DJI Mini nije poseban leaf
Canon G7X Mark III,1253,high,
Iznajmljivanje profesionalnih pikado aparata,1457,medium,pikado aparat za zabavu
SONY A7 III 35 MM FE org Sony objektiv,1257,medium,Sony A7 III mirrorless kamera; objektiv pomenut dodatno
Profesionalna rasveta za snimanje GODOX ML60BI / Softbox / Ringlights / Led stap,1289,medium,"rasveta za snimanje, uklju?uje softbox/ring"
Citroen Jumpy,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Mercedes Vito 8+1 extra long,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Audio guestbook,1133,medium,audio guestbook
Putnički kombi 8+1,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Garsonjera - Vojvode Vladovic Beograd,SKIP,high,garsonjera/stan nije pokriven taxonomy-jem
Prikolica Vesta 25DA,1630,medium,"prikolica Vesta, tip nije precizan"
Krovni koferi i krovni nosaci,1595,medium,krovni koferi i nosa?i
OBD Eleven 3,1603,high,
Tent Event – Iznajmljivanje opreme za proslave i događaje,608,medium,op?ti paket/oprema za proslave
Renta skuter za dostavu Wolt Glovo 125cc – Beograd,808,medium,skuter kao ostalo vozilo
Stan na dan Niš CENTAR,SKIP,high,stan nije pokriven taxonomy-jem
Rent a car Golf 7,SKIP,high,automobil nije pokriven taxonomy-jem
Auto prikolica,1630,high,
Akumulatorska udarna šrafilica Makita DFS 485,1186,high,
Iznajmljivanje torbica,SKIP,medium,torbice nisu pokrivene taxonomy-jem
Iznajmljivanje JBL 320 zvucnika,1130,high,
Profesionalna Vibro letva za betoniranje,1209,medium,vibro letva za betoniranje
Najam/Iznajmljivanje Potopna pumpa za nisku vodu,1311,high,
Najam/Iznajmljivanje Motorni duvač lišća,1317,high,
Pumpa za balone - električna,1462,high,
Žirafa Flex WST 700W,1051,high,
Rent a car Hyundai H1 7+1,SKIP,high,automobil/kombi nije pokriven taxonomy-jem
"Kompresor 24l - Abac Pole Position L20, 1.5kW",1191,high,
28m!!! NAJAM teleskopske DIZALICE 28m,1193,high,
Iznajmi Apartman Hanioti halkidiki,SKIP,high,apartman nije pokriven taxonomy-jem
Jbl party box 200,1130,high,
Motorna benzinska kosačica za travu W-BM 500 BS Womax,1341,high,
Malčer za krčenje,1328,low,mal?er nije eksplicitno u taxonomy-ju
Прокат автомобиля на автомате в Суботице - от 1 дня - 30 EUR - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
"Iznajmljivanje kampera, Ford Challenger 2023.",1636,medium,kamper nije poseban leaf
Najam/Iznajmljivanje Mini bager do 2700kg,1195,high,
ATV Kvad - CFMoto 625,808,medium,ATV/kvad kao ostalo vozilo
Prikolica za prevoz camaca 1800kg,1625,high,
Barski stolovi iznajmljivanje,1428,high,
Akumulatorska testera Makita DJR 187,1042,high,
"Mašina za čišćenje, poliranje, šmirglanje Columbus E 400|S",1201,medium,ma?ina za ?i??enje/poliranje poda
Rent a Car,SKIP,high,automobil nije pokriven taxonomy-jem
Roze Medaljon stolice,1429,high,
Gliser Gobbi open + Yamaha 100 HP ( fisherman ),1621,high,
AGREGAT: 3kVA - 325kVA,1024,high,
Iznajmljivanje stolnjaka,1441,medium,stolnjaci kao ketering/stolna oprema
Cros 125cc 4 brzine,808,medium,cross motocikl kao ostalo vozilo
Profi stolovi za stoni fudbal,1516,high,
Aku povratna testera lisičara Hilti WSR 22-A,1042,high,
Prikolica 2.5m rentiram,1630,medium,generi?ka prikolica
Najam/Iznajmljivanje Muljna pumpa za vodu do 320l/min,1311,medium,muljna/potopna pumpa za vodu
POSUDE ZA ODRŽAVANJE TEMPERATURE HRANE (CHAFING DISH),1434,high,
Izdavanje Ventilatora na vodu Šabac i okolina,105,high,
Vertikalna lift dizalica,1193,medium,vertikalna lift dizalica/platforma
Долгосрочная аренда автомобиля на автомате в Суботице - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
Aku udarna bušilica Makita DHR 263,1185,medium,aku udarna bu?ilica/?eki?
Renta makazaste platforme 12m,1193,high,
Sušač vazduha Pro Breeze PB-15-EU,105,medium,su?a? vazduha/isu?iva?
Kompresor Einhell TE-AC 270/50/10,1191,high,
Najam/Iznajmljivanje Motorne makaze za živu ogradu / Trimer,1316,high,
Mašina za farbanje (krečenje) Airless Sprayer,1105,high,
Ugaona brusilica velika Bosch GWS 2200-230,1046,high,
"Iznajmljivanje vozila nova Ford Puma - Subotica, RentaCa.rs",SKIP,high,automobil nije pokriven taxonomy-jem
Cirkular Einhell TKK 700/200,1028,high,
Benzinski sekač Stihl TS 800,1212,medium,benzinski seka? za beton/asfalt
Iznajmljivanje hladnjaca,1441,medium,mobilna hladnja?a za doga?aje/ketering
Devojačko veče,608,medium,devoja?ko ve?e kao party paket
Šlep prikolica,1627,high,
Renta makazaste DIZALICE 14m,1193,high,
Aksesoari za veridbu,1467,medium,aksesoari za veridbu kao dekoracija
Iznajmljivanje pagoda,1459,medium,"pagoda, veli?ina nije navedena"
Hladnjaca izdavanje,1441,medium,mobilna hladnja?a za doga?aje/ketering
Iznajmljujem predivan splav za odmor i uzivanje,1621,low,splav/plovilo za odmor
Masina za dubinsko pranje,1369,high,
Aluminijumske trodelne merdevine - 13 gazista,1329,medium,aluminijumske trodelne merdevine
Sony PS5 iznajmljivanje,1154,high,
Led lampa Bosch GLI 18V-10000 C,1012,medium,radna LED lampa
Pokretna skela 4m,1232,high,
Sony PS5/PS4 Pro,1154,high,
Auto slep prikolica,1627,high,
Najam/Iznajmljivanje Stona testera / sekačica,1043,medium,stona testera/seka?ica
Iznajmljivanje kalorifera - rentiranje,105,high,
Jujutsu Kaisen mange na engleskom,SKIP,high,mange/knjige nisu pokrivene taxonomy-jem
JBL party box 320,1130,high,
Električna lančana testera Makita UC3551A,1309,high,
Brusilica Bosch PWS 13-125,1046,high,
Iznajmljujem palicu za avione logitech 3d pro extrem,1156,medium,joystick za igre/simulator
Akumulatorska bušilica/čekić Makita DHR 241,1185,medium,bu?ilica/?eki?
Iznajmljivanje novih vozila - Subotica - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
Stoni Tenis Iznajmljivanje,1537,medium,stoni tenis kao reket sport
Iznajmljivanje isušivača za vlagu,105,medium,isu?iva? za vlagu
Vibro ploca 90kg (guma za behaton),1208,high,
Makazasta platforma 8m,1193,high,
Najam/Iznajmljivanje Brusilica za beton,1201,medium,brusilica za beton/podove
Iznajmljivanje espresso aparata za kafu,1387,medium,espresso aparat u kuhinjskoj opremi
Kante za smeće iznajmljivanje,610,low,kante za sme?e za doga?aje nisu posebno pokrivene
Najam/Iznajmljivanje Štemarica SDS-MAX do 12kg,1177,medium,?temarica SDS-MAX
Iznajmljivanje vozila - Subotica - od 1 dana: 30 EUR,SKIP,high,automobil nije pokriven taxonomy-jem
Građevinski podupirači 1-1.8m - najam -izdavanje - renta,1235,high,
Iznajmljivanje Masine za Dubinsko Pranje Gratis Parocistac,1369,high,
Würth produžni kabl dužine 10m,1021,high,
Helikopter za ravnjanje betona 1m – HANMR,1209,medium,helikopter za ravnjanje betona
"Paviljoni 3x3,3x6",1459,medium,"paviljon/?ator, veli?ina nije navedena"
Pokretna skela 6m,1232,high,
Auto prikolica vesta 25,1630,medium,auto prikolica
Drvene merdevine,1330,high,
Električna teleskopska testera Black & Decker PS7525,1309,medium,teleskopska lan?ana testera
Kamion sa korpom za rad na visini,1193,high,
"Parkside usisivač za dubinsko pranje, iznajmljivanje BG",1369,high,
Trigano 2D250 1T nosivost,1630,medium,"Trigano prikolica, tip nije precizan"
Profesionalna oprema za dubinsko pranje,1369,high,
Rent a Car in Subotica - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
"Dron - Dji Neo 2, za letovanja, događaje, snimanje placeva",1143,medium,DJI Neo nije poseban leaf
Rent a car Škoda Octavia A7,SKIP,high,automobil nije pokriven taxonomy-jem
Viljuškar,1117,high,
Stan na dan/mesecno,SKIP,high,stan nije pokriven taxonomy-jem
Akumulatorska ugaona brusilica Würth AWS 18-125 P,1046,high,
Rent a scuter Morbidelli SC125LX,808,medium,skuter kao ostalo vozilo
Iznajmljivanje opreme za proslave,608,medium,oprema za proslave op?te
Masina za usitnjavanje granja i drveta,1327,high,
Stan na dan Smederevo,SKIP,high,stan nije pokriven taxonomy-jem
"Iznajmljivanje kampera, Fiat Dethleffs 2024.",1636,medium,kamper nije poseban leaf
Rent a motor Keeway XDV 300,808,medium,motor/skuter kao ostalo vozilo
Iznajmljivanje kombija,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Mašine za isušivanje vlage,105,medium,ma?ine za isu?ivanje vlage
Komplet za čišćenje cevi Rems Cobra 22,1371,high,
Iznajmljivanje govornice,1456,medium,govornica/podium za voditelja
Vibro mašina za sabijanje/skakavac Zipper ZI RAM 80C,1208,high,
Ugaona brusilica (velika) Makita GA 9020 R,1046,high,
"Aluminijumska skela, merdevine - LARS 360",1232,medium,skela; merdevine pomenute dodatno
Najam/Iznajmljivanje Motorna testera za grane,1309,high,
Busac za rupe u zemlji,1211,high,
"Drveni stolovi i klupe,pivski set",1430,medium,pivski set stolovi i klupe
Rent a car Dacia Sandero,SKIP,high,automobil nije pokriven taxonomy-jem
Makazasta 8m dizalica,1193,high,
stan na dan centar grada,SKIP,high,stan nije pokriven taxonomy-jem
"Najam/Iznajmljivanje Trofazni agregat 3,3kVA",1024,high,
Industrijski usisivač Festool CT22 E,1376,medium,industrijski usisiva?
Iznajmi Skoda Scala Rent a car - Subotica - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
ATV Kvad rent,808,medium,ATV/kvad kao ostalo vozilo
Hidraulicni box za korekciju papaka kravama,SKIP,high,oprema za sto?arstvo nije pokrivena taxonomy-jem
Slicerica za pravljenje kanala u zidu Toolson Pro MF 1320,1113,medium,"slicerica za kanale u zidu, najbli?e glodalica"
Kosilica na daljinski renta,1341,medium,kosilica na daljinski
Najam/Iznajmljivanje Vibro letva,1209,medium,vibro letva za beton
Stan na dan,SKIP,high,stan nije pokriven taxonomy-jem
JLG N40 – 14m TELESKOPSKA PLATFORMA,1193,high,
Kombi Opel Vivaro,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Pikado Iznajmljivanje,1457,medium,pikado kao zabava
Najam/Iznajmljivanje Monofazni agregat 7kVA,1024,high,
Santorini cross back stolice iznajmljivanje,1429,high,
Mobilne hladnjače,1441,medium,mobilna hladnja?a za doga?aje/ketering
Iznajmljivanje medaljon stolica,1429,high,
RENTA SMART AUTO,SKIP,high,automobil nije pokriven taxonomy-jem
Makazasta Skyjack 12m,1193,high,
Masina za pranje podova / Fimap IMX B /najam/renta/izdavanje,1373,medium,ma?ina za pranje/ribanje podova
"Najam/Iznajmljivanje Trofazni agregat 6,5kVA",1024,high,
Skela iznajmljujem,1232,high,
28M MAKAZASTA platforma 28m,1193,high,
Rent a car Fiat Panda,SKIP,high,automobil nije pokriven taxonomy-jem
Iznajmljivanje AKU i Kablastih alata,1010,medium,op?ti oglas za aku i kablaste alate
Aparat za zavarivanje Womax W-MIG/MMA 140,1226,high,
Najam/Iznajmljivanje ugaona hoblerica za parket,1201,medium,ugaona hoblerica za parket/podove
Benzinski Trimer DEMON RQ580,1310,high,
Iznajmljivanje pravougaonih stolova,1431,high,
Brennenstuhl motalica – dužina kabla 50m,1021,high,
Kamion sa korpom radna visina do 20 metara,1193,high,
IZNAJMLJIVANJE PRIKOLICE,1630,medium,generi?ka prikolica
Suncobran 3x3,405,medium,suncobran kao ba?tenska/event oprema
Iznajmljivanje stendera garderobera Beograd,1423,medium,stender/garderober za ode?u
Ekscentar brusilica Bosch GEX 34-150,1055,high,
Toplotni pištolj Makita HG5030,1054,high,
Stoni fudbal iznajmljivanje,1516,high,
Šlep prikolica - Bajmok,1627,high,
Lokal za izdavanje 30m2 Šabac,1269,medium,lokal za izdavanje kao poslovni prostor
Iznajmljivanje suncobrana,405,medium,suncobran kao ba?tenska/event oprema
Iznajmljivanje lazy bag-ova,1364,medium,lazy bag kao name?taj
Elektro-pneumatski čekić Bosch GBH 2-28 F; SDS-plus,1185,medium,elektro-pneumatski ?eki? SDS-plus
Najam/Iznajmljivanje Mini bager do 3800kg,1195,high,
Najam/Iznajmljivanje Bušilica,1181,medium,bu?ilica bez preciznog tipa
Najam/Iznajmljivanje Električna ručna testera / Cirkular,1028,medium,elektri?na ru?na testera/cirkular
Barbie kutija za slikanje,1453,medium,Barbie kutija za slikanje/photo booth rekvizit
Iznajmljivanje CanonG7X iii kamere,1253,high,
Iznajmljivanje aparata za kokice kokičar,1454,high,
Motorni trimer za travu Stihl FS 75,1310,high,
Iznajmljujem bluetooth zvucnik,1130,high,
Potapajuća drenažna pumpa Maxima 300 SX,1311,medium,potapaju?a drena?na pumpa
Vibro ploca 200-250kg,1208,high,
Iznajmljivanje Hladnjaca Šabac i okolina,1441,medium,mobilna hladnja?a za doga?aje/ketering
Suknje korseti venčanice,1425,medium,suknje/korseti/ven?anice kao sve?ana ode?a
Iznajmljivanje bine,1420,high,
Građevinski podupirači 2-3.6m - najam -izdavanje - renta,1235,high,
Najam/Iznajmljivanje Električno rende/hoblerica 110mm,1111,medium,elektri?no rende/hoblerica
The crew 2 igrica za Ps4,1153,high,
Najam alu skele,1232,high,
Najam/Iznajmljivanje Vibro igla (220V),1209,medium,vibro igla za beton
Iznajmljivanje paviljona easy-up šatora,1459,medium,"easy-up paviljon/?ator, veli?ina nije navedena"
Najam prikolice za prevoz automobila,1627,high,
Vibro ploca Bomag 120kg,1208,high,
Akumulatorski zabijač za eksere Senco FN55AX,1214,high,
Kamion sa korpom 20m,1193,high,
Ubodna testera Makita 4351FCT,1032,high,
Aksesoari za devojačko veče,1467,medium,aksesoari za devoja?ko ve?e kao dekoracija
Kamion sa korpom radna visina do 26 metara,1193,high,
Rentiram kombi cirada,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Iznajmljivanje automobila Subotica - RentaCa.rs,SKIP,high,automobil nije pokriven taxonomy-jem
Iznajmljivanje Kombi Vozila,SKIP,high,kombi vozilo nije pokriveno taxonomy-jem
Wacker PG 2 – najam - profesionalna pumpa za vodu,1311,medium,pumpa za vodu
Racing simulator iznajmljivanje,1156,high,
Najam/Iznajmljivanje Bušilica za zemlju,1211,high,
Najam/Iznajmljivanje Potopna drenažna pumpa za vodu do 1000l,1311,medium,potopna drena?na pumpa
Reverzibilna vibro mašina za sabijanje - Husqvarna LG 164,1208,high,
Najam/Iznajmljivanje Trofazni agregat 15kVA,1024,high,
Poluprofesionalni trimer za živu ogradu Stihl HS 56C,1316,high,
Elektro-pneumatski čekić za štemovanje Bosch GSH 27 VC; šestostrani prihvat 28mm,1177,medium,elektro-pneumatski ?eki? za ?temovanje
